Date-Time	Station_ID	CBOD	DO	FLOW	NH3	NOX	NP RATIO	ORGN	ORGP	PO4	TKN	TN	TP	TSS	WTEMP
04/30/2012 00:00	TN0020460	1.77000	6.89000	0.01055	0.01600	1.72323	0.59751	0.12302	1.34017	1.77650	0.13902	1.86225	3.11667	6.69000	25.00000
05/01/2012 00:00	TN0020460	1.90000	7.53000	0.01210	0.01800	1.93864	0.67220	0.13840	1.34017	1.77650	0.15640	2.09504	3.11667	5.30000	25.00000
05/31/2012 00:00	TN0020460	1.90000	7.53000	0.01210	0.01800	1.93864	0.67220	0.13840	1.34017	1.77650	0.15640	2.09504	3.11667	5.30000	25.00000
06/01/2012 00:00	TN0020460	3.30000	6.59000	0.00973	0.01400	1.50783	0.52283	0.10764	1.34017	1.77650	0.12164	1.62947	3.11667	4.60000	25.00000
06/30/2012 00:00	TN0020460	3.30000	6.59000	0.00973	0.01400	1.50783	0.52283	0.10764	1.34017	1.77650	0.12164	1.62947	3.11667	4.60000	25.00000
07/01/2012 00:00	TN0020460	3.09000	7.46000	0.01377	0.02180	2.34791	0.81411	0.16761	1.34017	1.77650	0.18941	2.53732	3.11667	5.60000	25.00000
07/31/2012 00:00	TN0020460	3.09000	7.46000	0.01377	0.02180	2.34791	0.81411	0.16761	1.34017	1.77650	0.18941	2.53732	3.11667	5.60000	25.00000
08/01/2012 00:00	TN0020460	2.90000	8.36000	0.01247	0.01540	1.65861	0.57511	0.11841	1.34017	1.77650	0.13381	1.79242	3.11667	5.90000	25.00000
08/31/2012 00:00	TN0020460	2.90000	8.36000	0.01247	0.01540	1.65861	0.57511	0.11841	1.34017	1.77650	0.13381	1.79242	3.11667	5.90000	25.00000
09/01/2012 00:00	TN0020460	3.10000	8.28000	0.01122	0.01490	1.60476	0.55644	0.11456	1.34017	1.77650	0.12946	1.73422	3.11667	8.00000	25.00000
09/30/2012 00:00	TN0020460	3.10000	8.28000	0.01122	0.01490	1.60476	0.55644	0.11456	1.34017	1.77650	0.12946	1.73422	3.11667	8.00000	25.00000
10/01/2012 00:00	TN0020460	3.10000	7.91000	0.01057	0.01500	1.61553	0.56017	0.11533	1.34017	1.77650	0.13033	1.74586	3.11667	9.30000	15.00000
10/31/2012 00:00	TN0020460	3.10000	7.91000	0.01057	0.01500	1.61553	0.56017	0.11533	1.34017	1.77650	0.13033	1.74586	3.11667	9.30000	15.00000
11/01/2012 00:00	TN0020460	3.10000	7.46000	0.00769	0.01520	1.63707	0.56764	0.11687	1.34017	1.77650	0.13207	1.76914	3.11667	11.25000	15.00000
11/30/2012 00:00	TN0020460	3.10000	7.46000	0.00769	0.01520	1.63707	0.56764	0.11687	1.34017	1.77650	0.13207	1.76914	3.11667	11.25000	15.00000
12/01/2012 00:00	TN0020460	3.03000	8.03000	0.01264	0.01360	1.46475	0.50789	0.10457	1.34017	1.77650	0.11817	1.58292	3.11667	10.30000	15.00000
12/31/2012 00:00	TN0020460	3.03000	8.03000	0.01264	0.01360	1.46475	0.50789	0.10457	1.34017	1.77650	0.11817	1.58292	3.11667	10.30000	15.00000
01/01/2013 00:00	TN0020460	3.14000	7.96000	0.01667	0.01420	1.52937	0.53029	0.10918	1.34017	1.77650	0.12338	1.65275	3.11667	11.80000	15.00000
01/31/2013 00:00	TN0020460	3.14000	7.96000	0.01667	0.01420	1.52937	0.53029	0.10918	1.34017	1.77650	0.12338	1.65275	3.11667	11.80000	15.00000
