Sample,DO,Cond,ph,Temp,Turb
162,7.7,494,9.36,24.24,8.3
163,7.69,491,10.28,24.17,7.7
164,7.2,489,8.64,24.11,8.6
165,6.89,488,8.86,24.07,8.1
166,7.58,485,8.69,24.03,8.4
167,7.56,483,14,24.01,8.3
168,7.54,481,14,23.99,9.6
169,6.91,478,14,23.94,9.2
170,6.69,476,14,23.89,9.3
171,7.44,475,14,23.86,9.2
172,7.48,454,8.23,22.72,41.3
173,7.44,459,14,22.43,46.8
174,6.71,462,14,22.77,20.8
175,6.7,436,7.91,22.43,58.8
176,7.23,457,7.98,22.97,27.4
177,7.16,473,8.03,23.59,15.6
178,7.08,475,8.13,23.66,11.6
179,6.53,476,8.09,23.65,12.2
180,6.47,477,8.05,23.62,12
181,7,476,8.19,23.55,11.9
182,6.94,475,8,23.48,12
183,6.9,474,8,23.4,12.5
184,6.41,474,8.01,23.36,13.1
185,6.47,474,7.94,23.33,13
186,6.97,474,8.05,23.31,12.6
187,7.1,473,7.99,23.3,13.4
188,7.25,473,8.03,23.37,12.9
189,7.16,473,8.05,23.36,13.7
190,7.49,473,8.02,23.49,14.5
191,7.85,471,8,23.71,14.2
192,7.96,469,7.96,23.82,15.5
193,8.13,466,7.96,24.06,16.4
194,7.9,458,7.97,24.06,20.3
195,7.7,449,7.91,23.87,25
196,7.59,434,7.91,23.68,29
197,7.61,424,7.88,23.59,33.3
198,7.65,426,7.92,23.51,34.7
199,7.63,436,7.93,23.48,35.3
200,7.68,450,7.86,23.48,32.8
201,7.65,462,7.93,23.47,31.6
202,7.57,467,7.89,23.42,29.9
203,7.47,467,7.89,23.34,29.1
204,7.32,465,7.88,23.25,28.5
205,7.24,464,7.88,23.15,26.7
206,7.27,465,7.93,23.04,26
207,7.27,467,7.91,22.93,25.3
208,7.25,469,7.86,22.82,24.1
209,7.07,471,7.86,22.71,23.4
210,6.96,469,8.29,22.6,23.2
211,7.17,467,7.99,22.5,22.8
212,7.14,462,7.8,22.4,22.8
213,7.11,456,7.82,22.3,22.4
214,6.74,451,7.91,22.21,21.7
215,6.9,446,7.79,22.12,21.5
216,6.99,443,7.76,22.03,21.9
217,6.96,440,7.75,21.95,21.2
218,6.91,436,7.77,21.88,21.9
219,6.83,432,7.79,21.8,21.2
220,6.8,426,7.74,21.73,21.5
221,6.76,418,9.14,21.66,20.9
222,6.72,409,8.13,21.59,20.3
223,6.67,399,8.05,21.51,20.7
224,6.65,389,7.86,21.43,20.5
225,6.62,378,7.8,21.35,20.5
226,6.36,367,9.32,21.27,20.6
227,6.21,357,9.57,21.19,20.9
228,6.63,350,10.05,21.13,20.5
229,6.68,343,12.76,21.08,20.3
230,6.73,338,14,21.05,19.5
231,6.67,335,10.87,21.04,19.7
232,6.82,333,11.82,21.05,18.3
233,7.07,331,14,21.12,19.1
234,7.26,331,7.72,21.21,17.6
235,7.46,331,8.07,21.32,17.3
236,7.63,331,14,21.42,17.5
237,7.83,332,14,21.58,17.5
238,7.74,334,13.32,21.69,17.4
239,7.72,335,8.66,21.8,17.3
240,8.22,336,11.2,21.95,17.3
241,8.33,338,13.38,22.01,17
242,8.39,339,12.83,22.09,16.7
243,8.11,340,9.3,22.1,15.4
244,8.1,341,14,22.09,15.9
245,8.36,341,14,22.09,16.1
246,8.31,342,10.13,22.05,15.1
247,8.29,342,14,22.07,15.5
248,8.24,343,14,22.05,14.8
249,8.22,343,14,22.05,14.7
250,8.18,344,14,22.04,14.3
251,8.15,343,14,22,13.6
252,8.12,344,14,21.94,12.5
253,8.08,344,14,21.86,11.3
254,8.01,344,7.88,21.77,10.9
255,7.62,344,7.83,21.67,10.3
256,7.43,345,7.81,21.56,10.1
257,7.85,345,7.8,21.46,9.8
258,7.82,345,7.79,21.36,10.1
259,7.77,345,7.78,21.25,10.3
260,7.68,345,7.78,21.14,9.7
261,7.63,345,7.77,21.04,10
262,7.65,346,7.77,20.93,10
263,7.63,346,7.76,20.82,10.2
264,7.6,346,7.76,20.72,10.5
265,7.59,346,7.76,20.62,10.6
